,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
118,rio grande,0,GR,1660789381,76,38.3,21.7833,298.01,1.43
119,hami,0,CN,1660789382,47,42.8,93.45,295.16,2.28
120,belaya kalitva,6,UA,1660789382,93,49.029,25.7706,289.64,3.36
121,vanimo,21,PG,1660789382,72,-2.6741,141.3028,301.74,1.4
122,merauke,64,ID,1660789383,57,-8.4667,140.3333,301.06,5.34
123,carmen,99,MX,1660789383,77,18.6333,-91.8333,301.74,6.13
124,port blair,17,CD,1660789229,48,-7.0349,29.7638,295.91,1.27
125,geraldton,56,AU,1660789383,63,-28.7667,114.6,288.38,7.72
126,collie,6,AU,1660789384,57,-33.3667,116.15,285.79,2.45
127,labuan,20,MY,1660789384,79,5.2767,115.2417,303.35,1.03
128,ruidoso,99,US,1660789385,92,33.3317,-105.673,291.46,1.54
129,new norfolk,35,LR,1660789385,92,6.6518,-10.5932,294.13,1.3
130,leisure city,16,KE,1660789385,83,-4.0345,39.6943,295.72,5.06
131,sao joao da barra,15,IN,1660789386,89,20.5113,76.2129,294.95,4.63
132,georgetown,20,MY,1660789303,74,5.4112,100.3354,303.65,3.09
133,souillac,75,MU,1660789386,94,-20.5167,57.5167,291.36,1.54
134,yuancheng,100,CN,1660789387,69,36.652,107.7896,298.35,5.37
135,ilo,18,PE,1660789391,80,-17.6394,-71.3375,288.61,3.87
136,waitati,100,NZ,1660789392,96,-45.75,170.5667,283.05,2.95
137,grand river south east,0,US,1660789392,24,38.8755,-109.5012,303.7,1.21
138,ambulu,98,ID,1660789392,78,-8.345,113.6058,299.38,2.8
139,kuching,20,MY,1660789393,70,1.55,110.3333,302.27,3.6
140,yeppoon,0,AU,1660789393,43,-23.1333,150.7333,296.03,2.36
141,ostersund,100,SE,1660789393,93,63.1792,14.6357,281.4,1.54
142,hofn,100,IS,1660789394,86,64.2539,-15.2082,283.07,2.43
143,port elizabeth,17,CD,1660789370,48,-7.0349,29.7638,295.91,1.27
144,orocue,51,CO,1660789394,84,4.7912,-71.3354,298.19,2.06
145,east london,100,IS,1660789395,96,65.0,-15.0,282.01,1.84
146,ardakan,0,IR,1660789395,15,32.31,54.0175,298.2,3.5
147,xichang,92,CN,1660789395,84,27.8964,102.2634,296.18,0.89
148,turukhansk,92,RU,1660789396,73,65.8167,87.9833,286.16,2.11
149,tasiilaq,100,GL,1660789396,70,65.6145,-37.6368,280.24,2.18
150,thompson,75,CA,1660789300,73,55.7435,-97.8558,295.24,2.06
151,bathsheba,20,BB,1660789396,83,13.2167,-59.5167,300.49,5.66
152,tilichiki,100,RU,1660789397,88,60.4667,166.1,279.82,6.01
153,saint-philippe,0,RE,1660789397,79,-21.3585,55.7679,291.92,2.98
154,mahebourg,75,MU,1660789397,94,-20.4081,57.7,292.73,1.54
155,mehamn,75,NO,1660789398,87,71.0357,27.8492,282.12,3.09
156,indianola,0,US,1660789398,65,41.3581,-93.5574,297.04,0.98
157,ewa beach,13,ID,1660789398,65,-8.6235,122.5073,298.92,3.27
158,katsuura,100,JP,1660789399,82,35.1333,140.3,300.16,10.4
159,maceio,40,BR,1660789399,88,-9.6658,-35.7353,295.84,3.09
160,kerema,87,PG,1660789400,70,-7.9631,145.7785,299.11,4.87
161,puerto ayora,0,ES,1660789400,93,36.5939,-6.233,292.73,2.06
162,choya,60,RU,1660789400,85,52.0108,86.5467,284.74,0.64
163,novyy urengoy,40,RU,1660789401,88,45.0072,38.9819,296.23,1.0
164,neiafu,40,TO,1660789401,53,-18.65,-173.9833,299.53,7.2
165,byron bay,0,US,1660789401,78,44.0327,-92.6455,295.12,3.09
166,strathmore,5,CA,1660789297,38,51.0501,-113.3852,299.19,2.57
167,lidkoping,91,SE,1660789402,95,58.5052,13.1577,289.16,1.71
168,kargasok,100,RU,1660789402,86,59.0556,80.8572,282.51,4.61
169,tigre,0,AR,1660789403,53,-34.426,-58.5796,283.83,4.63
170,abha,0,SA,1660789404,94,18.2164,42.5053,291.05,2.57
171,bonthe,100,SL,1660789404,86,7.5264,-12.505,297.54,3.99
172,kushmurun,100,KZ,1660789404,72,52.4503,64.6311,284.98,5.11
173,chokurdakh,100,RU,1660789404,63,70.6333,147.9167,284.46,6.4
174,kapit,84,MY,1660789405,65,2.0167,112.9333,303.16,1.03
175,salalah,100,OM,1660789405,100,17.0151,54.0924,297.2,3.09
176,vila franca do campo,8,PT,1660789405,81,42.0304,-8.1588,283.64,2.56
177,kieta,18,PG,1660789406,71,-6.2167,155.6333,302.03,3.35
178,ust-nera,77,RU,1660789406,54,64.5667,143.2,291.22,1.16
179,denpasar,75,ID,1660789192,78,-8.65,115.2167,300.96,8.23
180,inuvik,75,CA,1660789406,53,68.3499,-133.7218,295.63,4.12
181,klaksvik,99,FO,1660789407,92,62.2266,-6.589,284.66,13.81
182,kloulklubed,100,PW,1660789407,79,7.0419,134.2556,300.43,8.03
183,tura,100,IN,1660789407,67,25.5198,90.2201,302.67,0.69
184,sao filipe,15,IN,1660789408,89,20.5113,76.2129,294.95,4.63
185,isangel,100,VU,1660789408,86,-19.55,169.2667,295.2,7.33
186,college,75,US,1660789409,43,64.8569,-147.8028,296.33,3.09
187,riviere-au-renard,100,CA,1660789409,85,48.9957,-64.3971,291.31,3.09
188,sao felix do xingu,15,IN,1660789386,89,20.5113,76.2129,294.95,4.63
189,nanortalik,44,GL,1660789409,90,60.1432,-45.2371,277.43,4.6
190,sitka,100,US,1660789410,94,57.0531,-135.33,288.09,3.6
191,natal,75,BR,1660789392,94,-5.795,-35.2094,296.27,5.14
192,dawei,75,MM,1660789410,85,14.0833,98.2,299.66,1.58
193,lorengau,62,PG,1660789411,70,-2.0226,147.2712,302.48,5.16
194,templin,100,DE,1660789411,77,53.1186,13.5022,293.76,2.35
195,stykkisholmur,100,IS,1660789411,86,65.0757,-22.7297,282.64,1.78
196,maldonado,66,UY,1660789412,68,-34.6667,-54.9167,284.39,6.57
197,nawa,5,IN,1660789412,88,27.0167,75.0,297.71,5.23
198,palu,100,ID,1660789412,64,-0.8917,119.8707,303.66,0.52
199,saldanha,55,ZA,1660789413,81,-33.0117,17.9442,284.18,8.85
200,hasaki,100,JP,1660789413,77,35.7333,140.8333,299.42,10.2
201,rawson,0,AR,1660789413,58,-43.3002,-65.1023,278.44,5.92
202,takoradi,0,GH,1660789414,85,4.8845,-1.7554,295.79,2.98
203,west bay,40,US,1660789414,58,31.8024,-97.0917,307.01,5.36
204,cap-aux-meules,100,CA,1660789415,88,47.3821,-61.8597,292.18,9.77
205,werder,77,DE,1660789415,62,52.3787,12.934,298.2,1.11
206,mayo,0,US,1660789415,92,38.8876,-76.5119,293.85,2.06
207,olinda,75,BR,1660789415,65,-8.0089,-34.8553,299.0,5.14
208,airai,98,TL,1660789416,31,-8.9266,125.4092,296.0,2.39
209,hokitika,100,NZ,1660789416,92,-42.7167,170.9667,288.06,6.64
210,namibe,26,AO,1660789416,88,-15.1961,12.1522,289.05,1.59
211,taybad,0,IR,1660789417,22,34.74,60.7756,297.31,10.81
212,nargana,7,PA,1660789417,83,9.4428,-78.5906,300.55,4.68
213,acapulco,75,MX,1660789213,70,16.8634,-99.8901,302.05,1.54
214,ghatanji,8,IN,1660789418,86,20.1333,78.3167,298.02,3.88
215,dakoro,99,NE,1660789418,65,14.5106,6.765,300.18,5.73
216,iqaluit,100,CA,1660789418,100,63.7506,-68.5145,278.0,2.06
217,megion,100,RU,1660789419,85,61.0296,76.1136,282.16,4.0
218,nemuro,100,JP,1660789419,84,43.3236,145.575,292.73,5.52
219,anahuac,100,MX,1660789419,54,27.2333,-100.15,304.58,9.23
220,kyra,100,RU,1660789419,61,49.5776,111.9753,287.18,1.24
221,abu dhabi,100,IN,1660789420,96,24.6,72.7,291.34,3.89
222,bengkulu,60,ID,1660789420,72,-3.8004,102.2655,300.8,1.73
223,iranshahr,0,IR,1660789420,16,27.2025,60.6848,302.34,2.06
224,olafsvik,100,IS,1660789421,84,64.8945,-23.7142,283.18,3.91
225,nelson bay,100,NZ,1660789302,99,-41.2833,173.2833,288.87,0.89
226,oga,15,IT,1660789421,90,46.4631,10.347,285.82,1.7
227,hualmay,53,PE,1660789268,82,-11.0964,-77.6139,289.34,3.49
228,ipixuna,14,BR,1660789422,87,-1.7625,-48.8043,297.23,1.79
229,santa vitoria do palmar,100,PH,1660789422,92,17.486,120.4348,297.74,2.44
230,madimba,76,TZ,1660789422,90,-10.4,40.3333,293.98,2.35
231,tiksi,20,RU,1660789423,85,71.6872,128.8694,280.62,6.07
